pmid,species_name,species_id,gene_name,gene_id,title,abstract,mesh
39621667,bananas,4641,,,Specific PCR primer designed from genome data for rapid detection of Fusarium oxysporum f. sp. cubense tropical race 4 in the Cavendish banana.,"Fusarium wilt caused by Fusarium oxysporum f. sp. cubense (Foc) tropical race 4 (TR4) severely affects banana production worldwide. Thus, specific PCR primers have been developed to rapidly diagnose and monitor Foc TR4-related fusarium wilt outbreaks in bananas. However, evaluation of these primers revealed room for improvement in the accuracy. This study aimed to design highly specific PCR primers based on genome data for Foc TR4 downloaded from the National Center for Biotechnology Information database. The specificity of the primers was assessed using Foc TR4, Foc races 1 and 2, and 15 other formae speciales strains. The utility of the primers was verified by correctly detecting Foc TR4 in 7 out of 86 isolates of Fusarium spp. obtained from banana farms in the Philippines. The primers allowed for rapid detection in experimentally diseased tissues. We concluded that this novel primer set enables the simplified diagnosis of fusarium wilt caused by Foc TR4 in bananas.","Fusarium; Musa; Plant Diseases; DNA Primers; Polymerase Chain Reaction; Genome, Fungal"
39621750,Campylobacter jejuni,197,,,Characterization of Guest DNA Transport and Adsorption within Host Porous Protein Crystals.,"Nucleic acid transport through protein-based pores is a well-characterized phenomenon due in part to advancements in nanopore sequencing. A less studied area is nucleic acid transport through extended protein-based channels, where the additional surface area and increased contact time allow for the study of prolonged binding interactions. Porous protein crystals composed of ""CJ"", a putative polyisoprenoid-binding protein from ",DNA; Adsorption; Porosity; Campylobacter jejuni; Bacterial Proteins; Nanopores; Crystallization
39621753,ZIKV,64320,NS4A,,A zebrafish-based in vivo model of Zika virus infection unveils alterations of the glutamatergic neuronal development and NS4A as a key viral determinant of neuropathogenesis.,"Infection of pregnant women by Zika virus (ZIKV) is associated with severe neurodevelopmental defects in newborns through poorly defined mechanisms. Here, we established a zebrafish in vivo model of ZIKV infection to circumvent limitations of existing mammalian models. Leveraging the unique tractability of this system, we gained unprecedented access to the ZIKV-infected brain at early developmental stages. The infection of zebrafish larvae with ZIKV phenocopied the disease in mammals including a reduced head area and neural progenitor cells (NPC) infection and depletion. Moreover, transcriptomic analyses of NPCs isolated from ZIKV-infected embryos revealed a distinct dysregulation of genes involved in survival and neuronal differentiation, including downregulation of the expression of the glutamate transporter vglut1, resulting in an altered glutamatergic network in the brain. Mechanistically, ectopic expression of ZIKV protein NS4A in the larvae recapitulated the morphological defects observed in infected animals, identifying NS4A as a key determinant of neurovirulence and a promising antiviral target for developing therapies.","Animals; Zebrafish; Zika Virus Infection; Zika Virus; Disease Models, Animal; Viral Nonstructural Proteins; Neurogenesis; Neural Stem Cells; Brain; Humans; Neurons"
39621795,Zika virus,64320,SRP54,6729,Flaviviruses induce ER-specific remodelling of protein synthesis.,"Flaviviruses orchestrate a unique remodelling of the endoplasmic reticulum (ER) to facilitate translation and processing of their polyprotein, giving rise to virus replication compartments. While the signal recognition particle (SRP)-dependent pathway is the canonical route for ER-targeting of nascent cellular membrane proteins, it is unknown whether flaviviruses rely on this mechanism. Here we show that Zika virus bypasses the SRP receptor via extensive interactions between the viral non-structural proteins and the host translational machinery. Remarkably, Zika virus appears to maintain ER-localised translation via NS3-SRP54 interaction instead, unlike other viruses such as influenza. Viral proteins engage SRP54 and the translocon, selectively enriching for factors supporting membrane expansion and lipid metabolism while excluding RNA binding and antiviral stress granule proteins. Our findings reveal a sophisticated viral strategy to rewire host protein synthesis pathways and create a replication-favourable subcellular niche, providing insights into viral adaptation.",Endoplasmic Reticulum; Humans; Zika Virus; Protein Biosynthesis; Virus Replication; Zika Virus Infection; Flavivirus; Signal Recognition Particle
39621906,pea,252690,,,Opportunities and challenges of plant proteins as functional ingredients for food production.,"Consumer interest in meat and dairy alternatives drives demand for plant-based protein ingredients. While soy and gluten dominate the market, there is a trend to explore alternative crops for functional ingredient production. The multitude of ingredients poses challenges for food manufacturers in selecting the right protein. We investigated 61 commercially available protein ingredients from various sources, categorizing them based on their protein content into protein-rich flours (protein content less than 50%), protein concentrates (protein content between 50% and 80%), and protein isolates (protein content higher than 80%). Methionine, cysteine, and lysine were decisive for the amino acid score, which even varied between ingredients produced from the same raw material. Such differences were also observed in the protein solubility profiles, characterized by their raw material-specific protein pattern. By focusing on soy, pea, and fava bean ingredients, the broad spectra of emulsifying and foaming properties were illustrated. These ranged from non-emulsifying and non-foaming to high emulsifying capacities of 737 mL/g ingredient and foaming activities of 2,278%, accompanied by a foam stability of 100%. Additionally, we demonstrated that the functionality of ingredients obtained from different batches could vary by up to 24% relative SD. Protein solubility, powder wettability, color, and particle size were determined as key properties for the differentiation of soy, pea, and fava bean protein ingredients by principal component analysis. In our study conclusion, we propose essential measures for overcoming challenges in protein ingredient production and utilization to realize their full potential in fostering sustainable and innovative plant-based food production.",Plant Proteins; Solubility; Amino Acids; Flour; Vicia faba; Functional Food; Glycine max; Food Ingredients
39621907,peas,3888,,,"A multicriteria analysis of meat and milk alternatives from nutritional, health, environmental, and cost perspectives.","Reducing meat and dairy intake has been identified as a necessary strategy for mitigating the high environmental impacts food systems are currently having on climate change, biodiversity loss associated with land-use changes, and freshwater use. Having a choice of dedicated meat and milk replacements available to consumers can help in the transition toward more plant-based diets, but concerns about nutritional and health impacts and high costs can impede uptake. Here, we conduct a multicriteria assessment of 24 meat and milk alternatives that integrates nutritional, health, environmental, and cost analyses with a focus on high-income countries. Unprocessed plant-based foods such as peas, soybeans, and beans performed best in our assessment across all domains. In comparison, processed plant-based products such as veggie burgers, traditional meat replacements such as tempeh, and plant milks were associated with less climate benefits and greater costs than unprocessed foods but still offered substantial environmental, health, and nutritional benefits compared to animal products. Our findings suggest that a range of food products exist that when replacing meat and dairy in current diets would have multiple benefits, including reductions in nutritional imbalances, dietary risks and mortality, environmental resource use and pollution, and when choosing unprocessed foods over processed ones also diet costs. The findings provide support for public policies and business initiatives aimed at increasing their uptake.","Animals; Milk; Humans; Meat; Nutritive Value; Environment; Climate Change; Costs and Cost Analysis; Diet, Vegetarian"
39622652,Acanthamoeba,5755,,,Identification of essential genes for Acanthamoeba castellanii excystation during encystation and excystation.,"Acanthamoeba is an opportunistic pathogen that causes Acanthamoeba keratitis, granulomatous amoebic encephalitis, and other cutaneous diseases. The life cycle of Acanthamoeba consists of 2 stages of trophozoites and cysts. Under adverse environmental conditions, Acanthamoeba encysts, while the conditions become favorable for growth, it reverts to the trophozoite form. Acanthamoeba excystation is crucial for its proliferation and can lead to recurrent infections after incomplete treatment. To identify the factors involved in excystation, A. castellanii was subjected to either encystation- or excystation-inducing conditions, and gene expression profiles were compared using mRNA sequencing. A. castellanii samples were collected at 8 h intervals for analysis under both conditions. Differentially expressed gene analysis revealed that 1,214 and 1,163 genes were upregulated and downregulated, respectively, by more than 2-fold during early excystation. Five genes markedly upregulated in early excystation (ACA1_031140, ACA1_032330, ACA1_374400, ACA1_275740, and ACA1_112650) were selected, and their expression levels were confirmed via real-time PCR. Small interfering RNA (siRNA) targeting these 5 genes was transfected into Acanthamoeba and gene knockdown was validated through real-time PCR. The silencing of ACA1_031140, ACA1_032330, ACA1_374400, and ACA1_112650 inhibited excystation and suggested that these genes might be essential for excystation. Our findings provide valuable insights for suppressing Acanthamoeba proliferation and recurrence.","Acanthamoeba castellanii; Genes, Essential; Trophozoites; Gene Expression Profiling; Parasite Encystment; Life Cycle Stages; Protozoan Proteins; Genes, Protozoan"
39622660,Sebastes schlegelii,214486,,,"Microscopic findings of host-parasite interaction between the Korean rockfish, Sebastes schlegelii, and the monogenean ectoparasite, Microcotyle sebastis.","This study was conducted to examine the pathogenesis of gill degeneration in the Korean rockfish Sebastes schlegelii, infested with the monogenean ectoparasite, Microcotyle sebastis. We collected 30 Korean rockfish from a fish farm in Tongyeong-si, Gyeongsangnam-do, and examined them with light microscopy, scanning electron microscopy (SEM), and histopathology, in March 2018. The monogenean trematode, M. sebastis, was detected in 27 Korean rockfish (90%), with the intensity of infection being 31.7 per fish. The characteristic surface ultrastructures such as tegument with transverse striations, genital atrium, genital pore, and opisthaptor with numerous clamps were observed. The worms were firmly attached to the gill lamellae using clamps from the opisthaptor, causing gill damage and degeneration. The distal part of the lamellae was ruptured by the sclerites of the clamps. The histopathological examination revealed epithelial hypertrophy, hyperplasia, and occasionally fusion of the lamellae. These ultrastructural and histopathological findings provide some understanding of the pathogenesis of gill degeneration in the Korean rockfish infested with M. sebastis.","Animals; Gills; Fish Diseases; Host-Parasite Interactions; Trematode Infections; Microscopy, Electron, Scanning; Trematoda; Republic of Korea; Fishes; Perciformes; Platyhelminths; Microscopy"
39622839,Dosidicus gigas,346249,,,Molecular identification of whole squids and calamari at fairs and markets in regions of Latin America.,"The commercial importance of cephalopods has increased considerably, being an important fishing resource. However, during the preparation for commercialization of those species, they suffer the process known as ""finning"" which includes removing and separating the head, arm, skin or even having the body structure cut into rings, which ends up making it difficult or often prevents the identification of the species, which can lead to replacements. In this sense, the present study aimed to use the large ribosomal region, rrnL (16S rDNA) to genetically identify cephalopod species sold in markets and fairs in Latin America. Whole and processed samples were collected from supermarkets and directly from local fishers the approximate collection location. Each generated sequence was submitted to the blastn portal for molecular comparison and included in the database for subsequent genetic identification. Our results indicate labeling errors in samples from the State of Pará that contained the species Dosidicus gigas found only in the Pacific Ocean and were generically labeled as ""National Lula"". No type of substitution was found among the samples that were being sold at fairs and markets, only labeling errors. Thus, our results demonstrate the effectiveness of the rrnL for identifying species and evaluating labeling errors.","Animals; Latin America; Decapodiformes; RNA, Ribosomal, 16S; Phylogeny"
39622904,chimpanzees,9598,,,Long term impacts of early social environment on chimpanzee white matter.,"Early adverse rearing conditions are known to have deleterious consequences on social behavior, cognition, and brain development of both human and nonhuman primates. We analyzed archival diffusion tensor imaging (DTI) data from mother- (MR) or nursery-reared (NR) chimpanzees and used support vector machine learning to determine whether we could retrospectively classify chimpanzees as MR or NR based on white matter fractional anisotropy (FA) decades after their rearing experiences. A significant proportion of chimpanzees were correctly classified as MR and NR based on white matter fractional anisotropy (76.32%; p = 0.004). Voxel-based morphometry revealed that MR chimpanzees had increased FA in the splenium/isthmus of the corpus collosum and premotor cortex, while NR chimpanzees had increased FA in the thalamic region, cuneus, and lateral genu of the corpus collosum (p < 0.01). A subset of the NR chimpanzees participated in early social interventions, but unlike gray matter, these interventions do not explain misclassification based on white matter. These findings suggest that nursery rearing has long-term effects on both gray and white matter, but that early interventions may ameliorate the effects on gray matter only. Future research should investigate the effectiveness and relative contributions of combined social, cognitive, and nutritional interventions on brain development in nonhuman primates.",Animals; Pan troglodytes; White Matter; Diffusion Tensor Imaging; Female; Male; Social Environment; Social Behavior; Gray Matter; Brain; Anisotropy
39622973,Bacillus cereus,1396,,,Toxicity evaluation and degradation of cypermethrin-contaminated soil using biochar and Bacillus cereus amendments.,"Cypermethrin (Cyp), a persistent synthetic pyrethroid insecticide widely used for insect control. The persistence of Cyp creates toxicity to both humans and the environment This study investigates biochar and Bacillus cereus distinct and collective effects on Cyp -contaminated soil during a 90-day incubation. This study also investigates the effects of different concentrations of Cyp (50, 100, ,500 to 1000 mg kg","Bacillus cereus; Charcoal; Soil Pollutants; Pyrethrins; Soil Microbiology; Soil; Biodegradation, Environmental; Insecticides"
39623040,Aedes aegypti,7159,,,Nutritional sex-specificity on bacterial metabolites during mosquito (Aedes aegypti) development leads to adult sex-ratio distortion.,"Mosquitoes rely on their microbiota for B vitamin synthesis. We previously found that Aedes aegypti third-instar larvae cleared of their microbiota were impaired in their development, notably due to a lack of folic acid (vitamin B9). In this study, we found that diet supplementation using a cocktail of seven B vitamins did not improve mosquito developmental success, but rather had a significant impact on the sex-ratio of the resulting adults, with an enrichment of female mosquitoes emerging from B vitamin-treated larvae. A transcriptomic analysis of male and female larvae identified some sex-specific regulated genes upon vitamin treatment. When treating germ-free larvae with individual B vitamins, we detected a specific toxic effect related to biotin (vitamin B7) exposure at high concentrations. We then provided germ-free larvae with varying biotin doses and showed that males are sensitive to biotin toxicity at a lower concentration than females. Gnotobiotic larvae exposed to controlled low bacterial counts or with bacteria characterised by slower growth, show a male-enriched adult population, suggesting that males require less bacteria-derived nutrients than females. These findings indicate that during larval development, mosquitoes have sex-specific nutritional requirements and toxicity thresholds, which impact the sex ratio of adults.",Animals; Aedes; Female; Male; Sex Ratio; Larva; Vitamin B Complex; Biotin; Bacteria
39623066,DMR,545892,RIPK3,101719112,Establishment of primary and immortalized fibroblasts reveals resistance to cytotoxic agents and loss of necroptosis-inducing ability in long-lived Damaraland mole-rats.,"The Damaraland mole-rat (DMR; Fukomys damarensis) is a long-lived (~ 20 years) Bathyergid rodent that diverged 26 million years ago from its close relative, the naked mole-rat (NMR). While the properties of NMR cultured fibroblasts have been extensively studied and have revealed several unusual features of this cancer-resistant, long-lived species, comparative DMR studies are extremely limited. We optimized conditions for successfully culturing primary DMR skin fibroblasts and also established immortalized DMR cells using simian virus 40 early region expression. Like NMRs, DMR fibroblasts are more resistant than mice to various cytotoxins including heavy metals, DNA-damaging agents, oxidative stressors, and proteasome inhibitors. DMR genome sequencing analyses revealed the presence of premature stop codons in the master regulator genes of necroptosis, an inflammatory programmed cell death-receptor-interacting protein kinase 3 (RIPK3) and mixed lineage kinase domain-like (MLKL), although these mutations have different locations to those found in the NMR. DMR cells, like NMR cells, did not show significantly increased cell death in response to necroptosis induction. Our data suggest that both Bathyergid species require species-specific cell culture conditions for optimized growth, display similar resistance to cytotoxins, and show loss-of-function mutations abrogating the ability to employ necroptosis. These shared traits may contribute to their evolved adaptations to their subterranean lifestyle and prolonged longevity. These convergent insights and valuable resource may be pertinent to biomedical research.","Animals; Mole Rats; Fibroblasts; Necroptosis; Mice; Longevity; Cells, Cultured"
39623086,Klebsiella pneumoniae,573,KPC-2,13914015,Two outbreak cases involving ST65-KL2 and ST11-KL64 hypervirulent carbapenem-resistant Klebsiella pneumoniae: similarity and diversity analysis.,"The rise of the convergence of hypervirulence and carbapenem resistance in Klebsiella pneumoniae has been increasingly reported in recent years, however, there are few outbreak cases for these producing NDM carbapenemase. In this study, ST65-KL2 and ST11-KL64 hypervirulent and carbapenem-resistant K. pneumoniae (hvCRKP) were identified from two different outbreak cases: (1) clonal spreading of ST65-KL2 in five patients within transplantation wards spanning three months; and (2) clonal transmission of ST11-KL64 in ten patients across 10 months. The representative strains of ST65-KL2 and ST11-KL64 hvCRKP, K22877 and K56649, produced carbapenemase NDM-5 and dual carbapenemases KPC-2 and NDM-13, respectively, and both exhibited high-level carbapenem resistance. Moreover, virulent analysis showed that K22877 and K56649 were hypervirulent and the former possessed stronger virulence. Evolutionary pathways suggested ST65-KL2 and ST11-KL64 hvCRKP could be classified as CR-hvKP (hvKP acquiring carbapenem resistance) and hv-CRKP (CRKP acquiring hypervirulence), respectively. Unexpectedly, ST65-KL2 CR-hvKP showed resistance to ciprofloxacin mediated by plasmid acquisition as its spread, and ST11-KL64 hv-CRKP developed into enhanced virulence and macrophage resistance. Furthermore, compared to the ST65-KL2 CR-hvKP, the ST11-KL64 hv-CRKP tends to cause occult and persistent infection. Global genome analysis revealed ST11-KL64 hv-CRKP and ST65-KL2 CR-hvKP mainly carried bla",Klebsiella pneumoniae; Klebsiella Infections; Humans; Disease Outbreaks; Virulence; Carbapenems; Bacterial Proteins; beta-Lactamases; Anti-Bacterial Agents; Carbapenem-Resistant Enterobacteriaceae; Animals; Male; Microbial Sensitivity Tests; Female; Mice
39623304,Viola diffusa,591085,,,Comprehensive analysis of the first complete mitogenome and plastome of a traditional Chinese medicine Viola diffusa.,"Viola diffusa is used in the formulation of various Traditional Chinese Medicines (TCMs), including antiviral, antimicrobial, antitussive, and anti-inflammatory drugs, due to its richness in flavonoids and triterpenoids. The biosynthesis of these compounds is largely mediated by cytochrome P450 enzymes, which are primarily located in the membranes of mitochondria and the endoplasmic reticulum.","Genome, Mitochondrial; Medicine, Chinese Traditional; Viola; Phylogeny; Base Composition; RNA, Transfer; Genome, Plastid; Codon Usage"
39623322,rainbow trout,8022,VEGF,100136118,Integrated miRNA-seq and functional analyses reveal the regulatory role of sha-miR-92a_L + 2R + 4 via targeting vegfaa in rainbow trout (Oncorhynchus mykiss) responding to acute hypoxia and reoxygenation stress.,"Hypoxia negatively affects the behavior, growth, reproduction and survival of fish, causing serious economic losses to aquaculture. Rainbow trout (Oncorhynchus mykiss), an important economic fish worldwide, belongs to a hypoxia-sensitive fish species, however, little is known about the regulatory mechanism of microRNAs (miRNAs) under hypoxia stress.","Animals; Oncorhynchus mykiss; MicroRNAs; Vascular Endothelial Growth Factor A; Hypoxia; Stress, Physiological; Liver; Gene Expression Regulation; Oxygen; Gene Expression Profiling"
39623353,HIV,11676,VL,23209,"Barriers and facilitators of a large clinical trial on prevention of HIV transmission through breastfeeding in Lusaka, Zambia: a qualitative study.","PROMISE-EPI trial evaluated a combination of interventions to prevent HIV transmission during breastfeeding. It showed a reduced postnatal transmission compared to the standard of care. The intervention combined identification of infants at high risk of infection using a point of care assay (POC) for early infant diagnosis and monitoring maternal viral load (VL) at 6 weeks and 6 months. A single-drug post-natal prophylaxis (PNP) was immediately initiated for high risk infants (maternal VL ≥ 1000 cp/mL). In Zambia, the national guidelines standard of care differs by 1) using three-drug PNP; 2) quarterly monitoring of maternal VL; 3) maternal VL testing in central labs. We explored the facilitators and barriers of this innovative prevention package to guide future scale-up.","Humans; Zambia; HIV Infections; Breast Feeding; Qualitative Research; Female; Infectious Disease Transmission, Vertical; Adult; Infant; Infant, Newborn; Viral Load; Male"
39623412,equine,9796,IL-10,100034187,Differential modulation of inflammatory cytokines by recombinant IL-10 in IL-1β and TNF-α ̶ stimulated equine chondrocytes and synoviocytes: impact of washing and timing on cytokine responses.,"Osteoarthritis (OA) remains a challenging joint disorder necessitating effective anti-inflammatory interventions. In this study, our primary objective was to establish an in vitro protocol that replicates the clinical investigation of anti-inflammatory drugs intended for OA management. Focusing on recombinant IL-10 (r.IL-10) as a potential anti-inflammatory treatment, we designed and implemented two distinct protocols to evaluate the efficacy of r.IL-10 in modulating chondrocyte and synoviocyte inflammation.The experimental design involved sequential stimulation with IL-1β and TNF-α for 24 h, followed by washing (model 1) or not washing (model 2) the cells before r.IL-10 treatment. Samples were collected after 6-24 h of treatment. Cellular responses were evaluated by quantifying gene expression and synthesis of key inflammatory cytokines and proteases.The expression and synthesis of inflammatory cytokines and proteases was significantly affected by washing and treatment time. The expression of IL-1β, TNF-α, IL-8, MMP-13, and ADAMTS5 were effectively reduced in r.IL-10-treated chondrocytes and synoviocytes in model 2 after 24 h, particularly at concentrations of 10 and 20 ng/mL. r.IL-10 treatment significantly increased IL-6 gene expression in chondrocytes at all time points. However, in synoviocytes, IL-6 expression was significantly lower in model 2 after 24 h of r.IL-10 treatment. r.IL-10 treatment significantly decreased IL-1β and TNF-α content in synoviocyte supernatants, particularly in model 2 at concentrations of 10 and 20 ng/mL after 6 and 24 h. r.IL-10 treatment in chondrocytes led to a significant decrease in IL-1β supernatant concentrations in model 2 after 24 h only.This study demonstrated that r.IL-10 treatment effectively reduces key inflammatory markers and matrix metalloproteinase activity in both chondrocytes and synoviocytes, particularly in model 2 where cells were not washed prior to treatment. These findings highlight r.IL-10's potential as a robust anti-inflammatory agent for OA management and suggest its critical role in developing effective therapeutic strategies for OA.","Animals; Chondrocytes; Horses; Interleukin-1beta; Synoviocytes; Tumor Necrosis Factor-alpha; Interleukin-10; Cytokines; Recombinant Proteins; Cells, Cultured; Anti-Inflammatory Agents"
39623971,HPV,10566,,,Prevalence of HPV infection in the general population of young and adult males in Italy.,The most prevalent sexually transmitted disease in the world has the human papillomavirus (HPV) as its etiological agent.,"Humans; Male; Papillomavirus Infections; Italy; Adult; Prevalence; Young Adult; Risk Factors; Adolescent; Papillomaviridae; DNA, Viral; Immunoglobulin G; Antibodies, Viral; Middle Aged"
39624024,Enterobacterales,91347,,,Long-term trends in the incidence of hospital-acquired carbapenem-resistant ,Carbapenem-resistant ,
39624128,P. gossypiella,13191,,,"Impacts of abiotic factors and pesticide on the development, phenology, and reproductive biology of pink bollworm, ","The pink bollworm, ",Animals; Nitriles; Pyrethrins; Temperature; Humidity; Insecticides; Larva; Moths; Pupa; Photoperiod; Lepidoptera; Reproduction; Gossypium
39624132,Cupressus funebris,74301,,,Phenotypic diversity and provenance variation of ,The species ,China; Genetic Variation; Phenotype; Cupressus; Conservation of Natural Resources; Seeds
39624158,yellow perch,8167,,,The gut microbiome and resistome of yellow perch (,"Anthropogenic activities can significantly impact wildlife in natural water bodies, affecting not only the host's physiology but also its microbiome. This study aimed to analyze the gut microbiome and antimicrobial resistance gene profile (i.e., the resistome) of yellow perch living in lakes subjected to different levels of anthropogenic pressure: wastewater effluent-impacted lakes and undeveloped lakes. Total DNA and RNA from gut content samples were extracted and sequenced for analysis. Results indicate that the gut resistome and microbiome of yellow perch differ between lakes, perhaps due to varying anthropogenic pressure. The resistome was predominated by macrolide resistance genes, particularly the MLS23S group, making up 53 % of resistome sequences from effluent-impacted lakes and 73 % from undeveloped lakes. The colistin resistance gene group (",
39624196,canine,9615,,,Phenotypic and genotypic detection of multi drug resistant coagulase-positive ,"Dermatological infections in dogs are challenging to treat due to antibiotic resistance, which leads to longer recovery time and the need for stronger antibiotics. ",
39624271,Fusarium equiseti,61235,,,Antifungal activity of zinc oxide nanoparticles (ZnO NPs) on ,"Fungal diseases pose a major threat to global agriculture, leading to reduced crop yields, health issues and significant economic impact. Application of nanoparticles are being explored in agriculture because of its ecofriendly as well as enhanced antimicrobial properties. In this study, using an aqueous extract of air-dried tea leaves, zinc oxide nanoparticles (ZnO NPs) are synthesized and it was characterized using various techniques such as X-ray diffraction, UV-Vis, FTIR spectroscopy and microscopic analysis. The growth inhibition activity of the ZnO-NPs was investigated against a phytopathogenic fungus, which was isolated and identified as ",
39624285,Catha edulis,123405,,,Adsorptive removal of cadmium (II) from wastewater using activated carbon synthesized from stem of Khat (,"Cadmium is among the most hazardous heavy metals, posing the greatest risk to human beings and the environment. Adsorption with activated carbon prepared from agricultural waste is the most effective way to remove cadmium (II) from wastewater. In this study, activated carbon prepared from the stem of Khat (",
39624306,Paenibacillus sp,58172,,,Differential impact of ,The Western honey bee (,
39624334,K. pneumoniae,573,,,Intramedullary spinal cord abscess due to disseminated hypermucoviscous ,Intramedullary spinal cord abscess (ISCA) is a rare and serious condition with high disability and mortality rates. ,
39624354,Japanese encephalitis virus (,11072,,,"Lessons learned from conducting a serological survey for Japanese encephalitis after detecting the first cases in New South Wales, Australia, 2022.","The first known locally acquired cases of Japanese encephalitis virus (JEV) infection in New South Wales (NSW), Australia, were identified in March 2022. NSW Health (the state entity for health care in NSW), with its partner agencies, conducted a serological survey to identify the prevalence of JEV antibody responses in high-risk communities in NSW.","Humans; Encephalitis, Japanese; New South Wales; Cross-Sectional Studies; Encephalitis Virus, Japanese; Adult; Adolescent; Seroepidemiologic Studies; Child; Middle Aged; Child, Preschool; Young Adult; Female; Male; Infant; Aged; Antibodies, Viral"
39624499,tobacco,4097,,,Analysis of the key component puff-by-puff transport in special segments and aerosol for electrical heated tobacco product.,"Understanding the puff-by-puff delivery mechanisms of key components of heated tobacco products is critical to developing product designs. This study investigates the puff-by-puff release patterns of key components in Natural Smoke Cigarettes (NSCs), which are designed to deliver nicotine without combustion by reducing oxygen content, utilizing a 30-s puff interval, a 2-s puff duration, and a 55 mL puff volume to simulate realistic smoking conditions. By establishing models to analyze the variation of nicotine, glycerol, 1,2-propylene glycol (PG), and water in different functional sections of the cigarette under controlled smoking conditions. These sections include the tobacco, hollow, cooling, and filter sections, constituting the structure of NSCs. In addition, the model calculates the port-by-port release of the components in the flue gas aerosol and compares it with the measured value. The results showed that: The retention amount in the tobacco section showed a steep decline in the first three puffs, with an overall exponential decrease. The amounts in the other sections were consistent, increasing in the first two puffs and then stabilizing. The retention amount decreased linearly with each puff, with a similar pattern across sections. The release amount peaked at the fourth to fifth puffs and then stabilized. The retention amount in the tobacco section declined exponentially in the first three puffs. It peaked in the second to third puffs in other sections, then decreased with each subsequent puff. The retention amount in the tobacco section showed a significant decline in the first puff, stabilizing at around 4 mg. In other sections, it peaked at the first puff and then rapidly declined. These findings can inform the development of reduced-harm smoking products and contribute to a better understanding of the dynamics of smoke generation. Additionally, the study offers a reference for the puff-by-puff release stability of NSCs and the improvement of consumers' sensory quality.",
39624516,Nile tilapia,8128,IL-10,100694754,Effect of ,"To exploit aquatic animals' feed resources and functional ingredients and additives, this experiment investigated the effects (a 2 × 2 factorial trial) and mechanism of woody plants and probiotics on Nile tilapia. Each treatment group was randomly assigned triplicate nets of 40 fish (initial body weight of 35.04 ± 0.01 g) in 12 tanks for 56 days. Fish were fed four diets, including a CON-CON diet (with no supplementation) and CON-Ba (basal diet + 1 × 10",
39624577,Rubus idaeus L.,32247,,,The High-Quality Genome Sequencing and Analysis of Red Raspberry (,Red raspberry (,
39624599,Culex hutchinsoni,345742,COX1,4512,The complete mitochondrial genome of ,The complete mitochondrial genome of ,
39624643,Gryllus firmus,7000,,,Patterns of Genomic Heterogeneity in a Classic Field Cricket Mosaic Hybrid Zone.,"Barriers to gene exchange can be semi-permeable; some genes are expected to freely flow across species boundaries whereas others, under divergent selection or responsible for reproductive isolation, might not. Genome scans in recently diverged species have identified divergent genomic regions, a pattern that has often been interpreted as islands of restricted introgression in a background of relatively free gene exchange (""genomic islands of speciation""). Areas of high differentiation, most located in the X chromosome (females XX, males X0), have been identified in the hybridizing field crickets ",
39624662,European beech,28930,,,High spatial and spectral resolution dataset of hyperspectral look-up tables for 3.5 million traits and structural combinations of Central European temperate broadleaf forests.,"Accurate retrieval of forest functional traits from remote sensing data is critical for monitoring forest health and productivity. To achieve sufficient accuracy using inverse methods it is essential to have representative database of simulated or measured spectral properties together with corresponding forest traits. However, existing datasets are often limited in scope, covering specific sites and times with simplified structures. This limitation hinders the development of generalizable machine learning models for trait prediction. To address this issue, we present a comprehensive high-resolution dataset of hyperspectral Look-Up Tables (LUT) designed for Central European temperate broadleaf forests. The dataset includes 3.5 million unique combinations of leaf biochemical and canopy structural characteristics of forest scenes together with a variety of sun geometry. The spectral data cover wavelengths from 450 nm to 2300 nm, with a resolution of 2 nm. The dataset is organised into two files: one capturing the average reflectance of all scene pixels and another focusing solely on sunlit leaf pixels. LUT were generated using the Discrete Anisotropic Radiative Transfer model version 5.10.0. Virtual forest scenes were based on 3D tree representations derived from Terrestrial Laser Scanning of European beech trees, adjusted to various leaf area index values and structural configurations to simulate natural forest variability. The reflectance data were processed using MATLAB and Python scripts, resulting in hyperspectral cubes that were processed to generate the LUT. The dataset can be used to train machine learning models, such as Random Forest and Support Vector Machines, for predicting forest functional traits and assisting in the calibration of remote sensing algorithms. The biggest advantage of the dataset is high spectral and spatial resolution, together with the high number of different trait combinations, which allows for adaptability to different times, locations, and hyper- and multispectral sensors, and can support up-coming hyperspectral satellite missions. ESA Copernicus Hyperspectral Imaging Mission for the Environment (CHIME) and NASA Surface Biology and Geology (SBG) future satellite missions can utilise this dataset to develop their product processors for monitoring forest traits.",
39624840,rhubarbs,3621,EGFR,1956,"Integrated chemical analysis, metabolic profiling, network pharmacology, molecular docking and toxicity prediction to reveal the active ingredients and their safety of raw and prepared rhubarbs in the treatment of gastric ulcers.","Rhubarb, containing raw rhubarb (RR) and two processed products (steamed rhubarb, SR; carbonized rhubarb, CR), is commonly used in high-doses for the treatment of peptic ulcer, especially gastric ulcer (GU). However, their active ingredients, therapeutic targets, and potential mechanism remain unclear. Meanwhile, the safety of these active ingredients is also worth studying.",
39624889,Kudoa thyrsites,69470,,,First Case of 'Soft Flesh' Induced by Kudoa thyrsites in an Atlantic Bonito (Sarda sarda).,,
